BFS_NR_GEMEINDE;GEMEINDE_NAME;BEZIRK_NR;BEZIRK_NAME;JAHR;GESCHLECHT_CODE;GESCHLECHT_BEZEICHNUNG;NATIONALITAET_CODE;NATIONALITAET_BEZEICHNUNG;ANZAHL_PERSONEN;MALE;FEMALE;SWISS;NOTSWISS
4401;Arbon;2011;Bezirk Arbon;2019;1;Männlich;1;Schweiz;4818;7379;7339;9908;4810
4401;Arbon;2011;Bezirk Arbon;2019;1;Männlich;2;Ausland;2561; ;;;
4401;Arbon;2011;Bezirk Arbon;2019;2;Weiblich;1;Schweiz;5090;;;;
4401;Arbon;2011;Bezirk Arbon;2019;2;Weiblich;2;Ausland;2249; ;;;
4406;Dozwil;2011;Bezirk Arbon;2019;1;Männlich;1;Schweiz;286;348;336;578;106
4406;Dozwil;2011;Bezirk Arbon;2019;1;Männlich;2;Ausland;62; ;;;
4406;Dozwil;2011;Bezirk Arbon;2019;2;Weiblich;1;Schweiz;292;;;;
4406;Dozwil;2011;Bezirk Arbon;2019;2;Weiblich;2;Ausland;44; ;;;
4411;Egnach;2011;Bezirk Arbon;2019;1;Männlich;1;Schweiz;2061;2396;2291;4063;624
4411;Egnach;2011;Bezirk Arbon;2019;1;Männlich;2;Ausland;335; ;;;
4411;Egnach;2011;Bezirk Arbon;2019;2;Weiblich;1;Schweiz;2002;;;;
4411;Egnach;2011;Bezirk Arbon;2019;2;Weiblich;2;Ausland;289; ;;;
4416;Hefenhofen;2011;Bezirk Arbon;2019;1;Männlich;1;Schweiz;524;617;584;1025;176
4416;Hefenhofen;2011;Bezirk Arbon;2019;1;Männlich;2;Ausland;93; ;;;
4416;Hefenhofen;2011;Bezirk Arbon;2019;2;Weiblich;1;Schweiz;501;;;;
4416;Hefenhofen;2011;Bezirk Arbon;2019;2;Weiblich;2;Ausland;83; ;;;
4421;Horn;2011;Bezirk Arbon;2019;1;Männlich;1;Schweiz;1159;1431;1467;2370;528
4421;Horn;2011;Bezirk Arbon;2019;1;Männlich;2;Ausland;272; ;;;
4421;Horn;2011;Bezirk Arbon;2019;2;Weiblich;1;Schweiz;1211;;;;
4421;Horn;2011;Bezirk Arbon;2019;2;Weiblich;2;Ausland;256; ;;;
4426;Kesswil;2011;Bezirk Arbon;2019;1;Männlich;1;Schweiz;387;477;523;825;175
4426;Kesswil;2011;Bezirk Arbon;2019;1;Männlich;2;Ausland;90; ;;;
4426;Kesswil;2011;Bezirk Arbon;2019;2;Weiblich;1;Schweiz;438;;;;
4426;Kesswil;2011;Bezirk Arbon;2019;2;Weiblich;2;Ausland;85; ;;;
4431;Roggwil;2011;Bezirk Arbon;2019;1;Männlich;1;Schweiz;1382;1564;1518;2757;325
4431;Roggwil;2011;Bezirk Arbon;2019;1;Männlich;2;Ausland;182; ;;;
4431;Roggwil;2011;Bezirk Arbon;2019;2;Weiblich;1;Schweiz;1375;;;;
4431;Roggwil;2011;Bezirk Arbon;2019;2;Weiblich;2;Ausland;143;;;;
4436;Romanshorn;2011;Bezirk Arbon;2019;1;Männlich;1;Schweiz;3658;5540;5696;7709;3527
4436;Romanshorn;2011;Bezirk Arbon;2019;1;Männlich;2;Ausland;1882; ;;;
4436;Romanshorn;2011;Bezirk Arbon;2019;2;Weiblich;1;Schweiz;4051;;;;
4436;Romanshorn;2011;Bezirk Arbon;2019;2;Weiblich;2;Ausland;1645;;;;
4441;Salmsach;2011;Bezirk Arbon;2019;1;Männlich;1;Schweiz;521;747;707;1045;409
4441;Salmsach;2011;Bezirk Arbon;2019;1;Männlich;2;Ausland;226; ;;;
4441;Salmsach;2011;Bezirk Arbon;2019;2;Weiblich;1;Schweiz;524;;;;
4441;Salmsach;2011;Bezirk Arbon;2019;2;Weiblich;2;Ausland;183;;;;
4446;Sommeri;2011;Bezirk Arbon;2019;1;Männlich;1;Schweiz;240;304;304;509;99
4446;Sommeri;2011;Bezirk Arbon;2019;1;Männlich;2;Ausland;64; ;;;
4446;Sommeri;2011;Bezirk Arbon;2019;2;Weiblich;1;Schweiz;269;;;;
4446;Sommeri;2011;Bezirk Arbon;2019;2;Weiblich;2;Ausland;35;;;;
4451;Uttwil;2011;Bezirk Arbon;2019;1;Männlich;1;Schweiz;770;946;943;1545;344
4451;Uttwil;2011;Bezirk Arbon;2019;1;Männlich;2;Ausland;176; ;;;
4451;Uttwil;2011;Bezirk Arbon;2019;2;Weiblich;1;Schweiz;775;;;;
4451;Uttwil;2011;Bezirk Arbon;2019;2;Weiblich;2;Ausland;168;;;;
4461;Amriswil;2011;Bezirk Arbon;2019;1;Männlich;1;Schweiz;4507;6859;6886;9329;4416
4461;Amriswil;2011;Bezirk Arbon;2019;1;Männlich;2;Ausland;2352; ;;;
4461;Amriswil;2011;Bezirk Arbon;2019;2;Weiblich;1;Schweiz;4822;;;;
4461;Amriswil;2011;Bezirk Arbon;2019;2;Weiblich;2;Ausland;2064;;;;
4471;Bischofszell;2015;Bezirk Weinfelden;2019;1;Männlich;1;Schweiz;2168;3016;2947;4399;1564
4471;Bischofszell;2015;Bezirk Weinfelden;2019;1;Männlich;2;Ausland;848; ;;;
4471;Bischofszell;2015;Bezirk Weinfelden;2019;2;Weiblich;1;Schweiz;2231;;;;
4471;Bischofszell;2015;Bezirk Weinfelden;2019;2;Weiblich;2;Ausland;716;;;;
4476;Erlen;2015;Bezirk Weinfelden;2019;1;Männlich;1;Schweiz;1387;1927;1837;2759;1005
4476;Erlen;2015;Bezirk Weinfelden;2019;1;Männlich;2;Ausland;540; ;;;
4476;Erlen;2015;Bezirk Weinfelden;2019;2;Weiblich;1;Schweiz;1372;;;;
4476;Erlen;2015;Bezirk Weinfelden;2019;2;Weiblich;2;Ausland;465;;;;
4486;Hauptwil-Gottshaus;2015;Bezirk Weinfelden;2019;1;Männlich;1;Schweiz;930;1034;953;1799;188
4486;Hauptwil-Gottshaus;2015;Bezirk Weinfelden;2019;1;Männlich;2;Ausland;104; ;;;
4486;Hauptwil-Gottshaus;2015;Bezirk Weinfelden;2019;2;Weiblich;1;Schweiz;869;;;;
4486;Hauptwil-Gottshaus;2015;Bezirk Weinfelden;2019;2;Weiblich;2;Ausland;84;;;;
4495;Hohentannen;2015;Bezirk Weinfelden;2019;1;Männlich;1;Schweiz;278;298;286;541;43
4495;Hohentannen;2015;Bezirk Weinfelden;2019;1;Männlich;2;Ausland;20; ;;;
4495;Hohentannen;2015;Bezirk Weinfelden;2019;2;Weiblich;1;Schweiz;263;;;;
4495;Hohentannen;2015;Bezirk Weinfelden;2019;2;Weiblich;2;Ausland;23;;;;
4501;Kradolf-Schönenberg;2015;Bezirk Weinfelden;2019;1;Männlich;1;Schweiz;1350;1848;1757;2712;893
4501;Kradolf-Schönenberg;2015;Bezirk Weinfelden;2019;1;Männlich;2;Ausland;498; ;;;
4501;Kradolf-Schönenberg;2015;Bezirk Weinfelden;2019;2;Weiblich;1;Schweiz;1362;;;;
4501;Kradolf-Schönenberg;2015;Bezirk Weinfelden;2019;2;Weiblich;2;Ausland;395;;;;
4506;Sulgen;2015;Bezirk Weinfelden;2019;1;Männlich;1;Schweiz;1401;1967;1934;2867;1034
4506;Sulgen;2015;Bezirk Weinfelden;2019;1;Männlich;2;Ausland;566; ;;;
4506;Sulgen;2015;Bezirk Weinfelden;2019;2;Weiblich;1;Schweiz;1466;;;;
4506;Sulgen;2015;Bezirk Weinfelden;2019;2;Weiblich;2;Ausland;468;;;;
